id,ip,hostname,mac,serial,os
,10.152.4.172,,FA:16:3E:9F:64:16,,OpenWrt Kamikaze 7.09 (Linux 2.6.22)
,10.152.4.173,,FA:16:3E:2A:BC:41,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.174,,FA:16:3E:40:86:43,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.175,,FA:16:3E:52:9E:16,,OpenWrt Kamikaze 7.09 (Linux 2.6.22)
,10.152.4.176,,FA:16:3E:46:21:0D,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.177,,FA:16:3E:26:9D:FF,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.178,,FA:16:3E:99:8B:E1,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.179,,FA:16:3E:2A:19:C1,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.180,,FA:16:3E:1E:89:AE,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.181,,FA:16:3E:0A:D7:96,,Zgemma H9 TV receiver (Linux 4.4)
,10.152.4.182,,FA:16:3E:21:D6:00,,Linux 2.6.32
,10.152.4.183,,FA:16:3E:62:9D:F1,,Linux 2.6.32
,10.152.4.184,,FA:16:3E:B5:08:75,,Linux 2.6.32
,10.152.4.185,,FA:16:3E:DB:10:EC,,Linux 2.6.32
,10.152.4.186,,FA:16:3E:1B:30:F7,,Linux 2.6.32
,10.152.4.187,,FA:16:3E:5E:FB:5B,,Linux 2.6.32
,10.152.4.188,,FA:16:3E:8B:A8:22,,Linux 2.6.32
,10.152.4.189,,FA:16:3E:3D:D0:6A,,Linux 2.6.32
,10.152.4.190,,FA:16:3E:1C:EE:93,,Linux 2.6.32
,10.152.4.191,,FA:16:3E:57:D6:B1,,Linux 2.6.32
,10.152.4.192,,FA:16:3E:D3:31:4C,,Linux 2.6.32
,10.152.4.193,,FA:16:3E:0C:69:5A,,Linux 2.6.32
,10.152.4.194,,FA:16:3E:C0:04:73,,Linux 2.6.32
,10.152.4.195,,FA:16:3E:EE:0C:0F,,Linux 2.6.32
,10.152.4.196,,FA:16:3E:F8:B9:D3,,Linux 2.6.32
,10.152.4.198,,FA:16:3E:94:68:64,,Linux 2.6.32
,10.152.4.199,,FA:16:3E:7E:9C:7D,,Linux 2.6.32
,10.152.4.200,,FA:16:3E:65:C1:62,,Linux 2.6.32
,10.152.4.201,,FA:16:3E:44:2F:BC,,Linux 2.6.32
,10.152.4.221,,44:22:7C:29:E3:E0,,Linux 4.14
,10.152.4.222,ITHFHWCRMPSBDP01,44:22:7C:29:E3:B6,,Linux 4.14
,10.152.4.223,,,,Linux 4.14
,10.152.4.224,ITHFHWCRMPSBDA02,44:22:7C:29:E1:9B,,Linux 4.14
,10.152.4.225,ITHFHWCRMPSBDP02,44:22:7C:29:E3:CB,,Linux 4.14
,10.152.4.226,,,,Linux 4.14
,10.152.4.227,ITHFHWCRMPSBDA03,44:22:7C:29:E1:FD,,Linux 4.14
,10.152.4.228,ITHFHWCRMPSBDP03,CC:B1:82:2A:1E:A2,,Linux 4.14
,10.152.4.229,,,,Linux 4.14
,10.152.4.230,,,,Linux 4.14
,10.152.4.231,,,,Linux 4.14
,10.152.4.232,,,,Linux 4.14
,10.152.4.242,,,,Linux 4.14
,10.152.4.243,,,,Linux 4.14
,10.152.4.244,,,,Linux 4.14
,10.152.4.245,,,,Linux 4.14
,10.152.4.246,,,,Linux 4.14
,10.152.4.247,,,,Linux 4.14
,10.152.5.116,,FA:16:3E:92:D8:F5,,OpenWrt Kamikaze 7.09 (Linux 2.6.22)
