PreferredonlyoneIP,Preferred Hostname,Preferred Mac
10.152.18.29,ITHFHWCRMDLCN97,"60:53:75:64:D4:4E
60:53:75:64:D6:84
BE:FB:DB:F8:FC:41
FA:16:3E:F4:DA:BF"
10.152.18.121,ITHFHWCRMDLCN92,"D8:68:52:5D:FA:CB
D8:68:52:5D:FA:DB
FA:16:3E:5D:45:26"
10.152.18.112,ITHFHWCRMDLCN99,"CE:EE:8E:62:04:4D
D8:68:52:5D:F9:07
D8:68:52:5D:FA:6F
FA:16:3E:E4:AA:DF"
10.152.18.178,ITHFHWCRMDLCN102,"50:9A:88:E0:CD:05
50:9A:88:E0:CD:9F
DA:5A:8E:B9:F5:47
FA:16:3E:3B:9A:7C"
10.152.18.126,ITHFHWCRMDLCN100,"60:53:75:64:D4:0A
60:53:75:64:D6:34
FA:16:3E:F4:54:FF
FE:16:3E:18:4E:0F"
10.152.18.90,ITHFHWCRMDLCN89,"1C:E6:39:B4:EF:81
60:53:75:64:D4:46
FA:16:3E:A7:E2:61
FE:16:3E:92:45:B1"
10.152.18.96,ITHFHWCRMDLCN103,"50:9A:88:E0:CD:A7
50:9A:88:E0:CD:D1
D2:4D:07:1F:B8:40
FA:16:3E:12:C0:E3"
10.152.18.102,ITHFHWCRMDLCN94,"60:53:75:64:D4:C2
D8:68:52:5D:FA:79
E6:84:F0:F7:21:46
FA:16:3E:D8:DC:14"
10.152.18.210,ITHFHWCRMDLCN90,"1C:E6:39:B4:EE:C3
1C:E6:39:B4:EF:0B
42:9A:F7:E1:66:4A
FA:16:3E:1F:8C:7C"
10.152.18.116,ITHFHWCRMDLCN95,"D8:68:52:5D:F9:A3
D8:68:52:5D:FA:ED
FA:16:3E:90:44:DA
FE:16:3E:C9:78:25"
10.152.18.192,ITHFHWCRMDLCN88,"1C:E6:39:B4:EE:D7
D8:68:52:5D:F8:9D
FA:16:3E:75:E5:68
FE:16:3E:95:34:F3"
10.152.18.15,ITHFHWCRMDLCN105,"60:53:75:64:D4:66
60:53:75:64:D5:0C
FA:16:3E:E5:8C:7B
FE:16:3E:F2:4F:9B"
10.152.77.23,ITHFHWCRMPLCN193,"60:53:75:64:D5:A2
60:53:75:64:D5:A8
FA:16:3E:2A:2F:9D
FE:16:3E:6B:D1:F7"
10.152.77.9,ITHFHWCRMPLCN191,"60:53:75:64:D4:B4
60:53:75:64:D4:B6
92:36:55:53:E4:44
FA:16:3E:C9:8B:94"
10.152.77.29,ITHFHWCRMPLCN194,"1C:E6:39:B4:EE:9F
1C:E6:39:B4:EE:F3
5A:48:B3:D8:52:40
FA:16:3E:77:31:83"
10.152.77.6,ITHFHWCRMPLCN207,"08:5C:1B:57:65:DE
AC:99:29:DC:A5:49
FA:16:3E:81:0C:98
FE:16:3E:31:E8:1C"
10.152.77.32,ITHFHWCRMPLCN192,"1C:E6:39:B4:EE:2F
1C:E6:39:B4:EF:A9
FA:16:3E:66:EF:CC
FE:16:3E:8A:CB:14"
10.152.77.28,ITHFHWCRMPLCN184,"1C:E6:39:B4:EF:31
1C:E6:39:B4:EF:B3
FA:16:3E:2A:C3:73
FE:16:3E:55:39:54"
10.152.77.31,ITHFHWCRMPLCN190,"50:9A:88:E0:CD:51
60:53:75:64:D5:18
60:53:75:64:D6:54
FA:16:3E:46:4D:1B"
10.152.77.83,ITHFHWCRMPLCN197,"60:53:75:64:D4:2A
60:53:75:64:D4:AE
A6:69:60:A1:63:44
FA:16:3E:10:1B:76"
10.152.77.15,ITHFHWCRMPLCN205,"22:D5:3F:DA:17:47
D8:68:52:5D:F9:E3
D8:68:52:5D:FA:9D
FA:16:3E:50:0F:4A"
10.152.77.105,ITHFHWCRMPLCN199,"D8:68:52:5D:F8:9B
D8:68:52:5D:F8:DB
FA:16:3E:44:B7:1A"
10.152.77.11,ITHFHWCRMPLCN178,"1C:E6:39:B4:EE:C9
1C:E6:39:B4:EF:8B
FA:16:3E:A7:6B:C8
FE:16:3E:E7:14:97"
10.152.77.43,ITHFHWCRMPLCN185,"60:53:75:64:D5:C4
60:53:75:64:D6:F2
FA:16:3E:66:C2:1B
FE:16:3E:E6:0F:79"
10.152.77.16,ITHFHWCRMPLCN183,"96:EE:B6:B6:98:42
D8:68:52:5D:F8:D9
D8:68:52:5D:FA:6D
FA:16:3E:A9:FB:BE"
10.152.77.109,ITHFHWCRMPLCN204,"A6:95:D5:9E:79:47
D8:68:52:5D:FA:73
D8:68:52:5D:FA:9B
FA:16:3E:BE:50:47"
10.152.77.130,ITHFHWCRMPLCN210,"60:53:75:64:D3:E2
60:53:75:64:D5:D8
72:C3:15:CE:62:41
FA:16:3E:77:BC:37"
10.152.77.58,ITHFHWCRMPLCN209,"1C:E6:39:B4:EE:55
1C:E6:39:B4:EF:6D
1C:E6:39:B4:EF:93
FA:16:3E:05:B6:89"
10.152.77.138,ITHFHWCRMPLCN203,"1C:E6:39:B4:F1:0D
1C:E6:39:B4:F1:29
9A:33:3F:42:1C:43
FA:16:3E:15:32:13"
10.152.77.93,ITHFHWCRMPLCN206,"1C:E6:39:B4:EF:2F
1C:E6:39:B4:F0:EF
DE:FA:9A:8D:21:4D
FA:16:3E:26:21:D9"
10.152.77.150,ITHFHWCRMPLCN202,"50:9A:88:E0:CC:99
50:9A:88:E0:CD:59
FA:16:3E:4A:69:5B"
10.152.77.173,ITHFHWCRMPLCN181,"1C:E6:39:B4:F1:13
D8:68:52:5D:FA:3D
FA:16:3E:65:B5:42
FE:16:3E:61:E0:F4"
10.152.77.139,ITHFHWCRMPLCN212,"1C:E6:39:B4:F0:2F
1C:E6:39:B4:F0:3B
9A:E3:85:1C:6D:43
FA:16:3E:7B:7B:AD"
10.152.77.186,ITHFHWCRMPLCN180,"46:23:B6:07:9F:43
D8:68:52:5D:F8:C7
D8:68:52:5D:FA:1D
FA:16:3E:07:4E:CD"
10.152.77.155,ITHFHWCRMPLCN182,"AA:A9:37:47:4F:41
D8:68:52:5D:F9:19
D8:68:52:5D:F9:81
FA:16:3E:BB:06:21"
10.152.77.152,ITHFHWCRMPLCN189,"60:53:75:64:D4:4A
60:53:75:64:D6:44
E6:40:01:DF:25:4F
FA:16:3E:64:5B:95"
10.152.77.147,ITHFHWCRMPLCN196,"60:53:75:64:D5:20
60:53:75:64:D6:10
7A:ED:F7:9D:00:F9
FA:16:3E:FD:99:DC"
10.152.77.166,ITHFHWCRMPLCN187,"4E:D5:13:F6:23:46
60:53:75:64:D5:B6
60:53:75:64:D6:F8
FA:16:3E:02:18:A8"
10.152.77.199,ITHFHWCRMPLCN211,"1C:E6:39:B4:EE:2B
1C:E6:39:B4:EE:EB
FA:16:3E:C3:DC:C7
FE:16:3E:0E:55:22"
10.152.77.213,ITHFHWCRMPLCN208,"1C:E6:39:B4:EE:7F
1C:E6:39:B4:EF:7B
96:36:1B:13:78:42
FA:16:3E:F6:01:36"
10.152.77.233,ITHFHWCRMPLCN213,"60:53:75:64:D3:F6
60:53:75:64:D4:76
6E:C8:18:1F:FF:44
FA:16:3E:6D:11:28"
10.152.77.225,ITHFHWCRMPLCN195,"1C:E6:39:B4:EE:DB
1C:E6:39:B4:EE:F1
E2:94:EF:C2:0E:4F
FA:16:3E:A9:06:AA"
10.152.77.201,ITHFHWCRMPLCN201,"1C:E6:39:B4:EF:01
1C:E6:39:B4:F1:2C
1C:E6:39:B4:F1:2D
FA:16:3E:5F:AF:36"
10.152.77.215,ITHFHWCRMPLCN179,"1C:E6:39:B4:EE:A9
1C:E6:39:B4:EF:AD
D6:05:87:5D:D4:46
FA:16:3E:F8:2D:A0"
10.152.77.219,ITHFHWCRMPLCN200,"0E:D8:1F:85:C3:82
1C:E6:39:B4:F0:66
1C:E6:39:B4:F0:67
1C:E6:39:B4:F0:6C
1C:E6:39:B4:F0:6D
3A:17:38:A4:49:C5
3A:EA:F2:3E:BA:C5
60:CE:41:74:16:E9
8A:17:02:FF:E5:4A
9A:61:D7:FE:E7:58
A6:32:08:FC:34:14
B6:60:14:96:0F:43
D2:4C:B7:02:03:40
EA:B3:08:A6:E4:4D
FA:16:3E:4B:E9:5A
FE:16:3E:15:58:CF
FE:16:3E:46:04:AA
FE:16:3E:D8:78:C7"
10.152.77.195,ITHFHWCRMPLCN198,"60:53:75:64:D6:C4
D8:68:52:5D:FA:2D
FA:16:3E:08:40:F9"
10.152.77.216,ITHFHWCRMPLCN186,"1C:E6:39:B4:EF:89
1C:E6:39:B4:EF:95
26:DF:93:77:91:41
FA:16:3E:AB:7F:9C"
10.191.80.18,UW325V2_UXWASIX400,06:C2:32:7D:D2:04
10.191.211.165,ITHVHPZR58LAP01,00:50:56:AC:97:15
10.59.25.102,ITHFHWAICCLCN14,"C6:B7:13:9E:C9:96
FA:16:3E:C7:5E:BB"
10.59.25.215,ITHFHWAICCLCN11,"22:1C:FD:2B:E6:C6
FA:16:3E:7A:73:5D"
10.59.25.138,ITHFHWAICCLCN08,"6A:B4:EE:75:EA:00
FA:16:3E:8C:82:AF"
10.59.25.148,ITHFHWAICCLCN06,"3A:29:A2:72:D4:44
FA:16:3E:AF:E6:A2"
10.59.25.196,ITHFHWAICCLCN03,"FA:16:3E:45:A5:EE
FE:16:3E:04:E2:D5"
10.59.25.237,ITHFHWAICCLCN15,"FA:16:3E:5E:11:99
FE:16:3E:A0:AB:B3"
10.59.25.125,ITHFHWAICCLCN13,"60:2E:20:C1:3C:C6
FA:16:3E:DF:04:43"
10.59.25.109,ITHFHWAICCLCN10,"62:69:82:A8:01:46
FA:16:3E:B2:FE:1F"
10.59.25.124,ITHFHWAICCLCN05,"72:61:C5:D8:A4:40
FA:16:3E:5C:9B:BB"
10.59.25.222,ITHFHWAICCLCN12,"CC:BB:FE:F7:3E:BD
FA:16:3E:57:E1:B3"
10.59.25.177,ITHFHWAICCLCN02,"66:C8:A7:99:FB:48
FA:16:3E:D0:56:39"
10.59.25.184,ITHFHWAICCLCN07,"56:DF:20:B0:19:A2
FA:16:3E:C4:76:14"
10.59.25.223,ITHFHWAICCLCN01,"1A:22:E1:22:F2:43
FA:16:3E:05:2D:E1"
10.59.25.205,ITHFHWAICCLCN16,"B6:89:D6:6C:23:44
FA:16:3E:0E:F3:00"
10.59.25.95,ITHFHWAICCLCN04,"72:7E:7E:62:24:C0
FA:16:3E:01:8E:BA"
10.59.25.238,ITHFHWAICCLCN09,"EA:2C:EC:53:F7:47
FA:16:3E:0B:FA:10"
10.59.25.121,ITHFHWAICCLCN17,"FA:16:3E:4C:EA:EB
FE:16:3E:6E:8A:A5"
