"Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"cisco_adapter
paloalto_xdr_adapter","OIDSHARE","10.188.91.112
10.253.192.75","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2"
"cisco_adapter
paloalto_xdr_adapter","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5"
"cisco_adapter
vmware_vrops_adapter","9PCCE-FINESSEB","10.188.16.217","00:0C:29:2E:59:A6","Linux Red Hat 6"
"cisco_adapter
vmware_vrops_adapter","9PCCE-CUICA","10.188.16.218","00:0C:29:DA:20:7A","Linux Centos"
"cisco_adapter
vmware_vrops_adapter","9PCCE-CUICB","10.188.16.219","00:0C:29:1E:BA:31","Linux Centos"
"cisco_adapter
vmware_vrops_adapter","9PCCE-FINESSEA","10.188.16.216","00:0C:29:B8:54:D0","Linux Red Hat 6"
"cisco_adapter
vmware_vrops_adapter","9VM-CARSO-SSM-CCE","10.188.16.239","00:0C:29:11:72:4F","Linux Centos 7"
"cisco_adapter
vmware_vrops_adapter","9CUCM-CAR-MR2","10.188.16.232","00:0C:29:37:0B:59","Linux Centos"
"cisco_adapter
vmware_vrops_adapter","9PCCE-VVBA","10.188.16.220","00:0C:29:7E:31:8B","Linux Red Hat 6"
"cisco_adapter
vmware_vrops_adapter","9PCCE-VVBB","10.188.16.221","00:0C:29:40:93:6E","Linux Red Hat 6"
"cisco_adapter
paloalto_xdr_adapter","ZABBIX","10.188.243.140","B4:B0:24:80:B2:DD","Linux Debian 10.13"
