Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
04/02/26,177,107,0,0,64,6,0
24/02/26,180,111,0,0,63,6,0
